nest, header, k, pathsfound, time-per-hsa, time-per-time, mem-usage
0,1,0,0,416,0.0,1544
0,1,1,0,404,0.0,1604
0,1,2,0,417,0.0,1604
0,1,3,0,471,0.0,1604
0,2,0,0,338,0.0,1604
0,2,1,0,423,0.0,1604
0,2,2,0,426,0.0,1552
0,2,3,0,423,0.0,1604
0,3,0,0,389,0.0,1600
0,3,1,0,415,0.0,1600
0,3,2,0,416,0.0,1608
0,3,3,0,475,0.0,1608
0,4,0,44,1121,0.0,1716
0,4,1,44,1200,0.0,1748
0,4,2,80,3241,0.0,1960
0,4,3,80,2817,0.0,1936
0,5,0,58,1067,0.0,1732
0,5,1,58,1475,0.0,1776
0,5,2,122,4184,0.0,2076
0,5,3,122,4815,0.0,2084
0,6,0,568,1940,0.01,2160
0,6,1,568,4634,0.01,2536
0,6,2,1330,20538,0.04,3892
0,6,3,1330,19100,0.04,3872
0,7,0,7346,10908,0.09,5760
0,7,1,7346,80302,0.17,7484
0,7,2,17594,385631,0.6,19996
0,7,3,21239,566941,0.83,24332
0,8,0,45112,56333,0.57,19204
0,8,1,45112,710428,1.23,30192
0,8,2,123746,3525689,5.27,130480
0,8,3,168802,4624928,6.61,159588
0,9,0,181306,212146,2.2800000000000002,64336
0,9,1,181306,3195793,5.44,109308
0,9,2,575098,24571874,32.82,593772
0,9,3,846973,33816403,46.7,791128
0,10,0,559928,612570,6.93,184724
0,10,1,559928,14374918,20.83,324104
0,10,2,2033522,111483555,136.99,2126004
0,10,3,3153266,153010114,193.97,2889808
0,11,0,1445458,1534680,17.99,458212
0,11,1,1445458,38335864,58.35,833408
0,11,2,5935370,397920895,469.71,6228360
0,11,3,9548875,579297048,703.22,8655448
0,12,0,3276856,3477866,41.37,1012096
0,12,1,3276856,88634305,126.76,1882168
0,12,2,15036514,1348980324,1536.29,16078064
0,12,3,24866914,2076876360,2357.15,22428232
0,13,0,6731642,7131207,81.4,2041184
0,13,1,6731642,258875488,338.15,3812240
0,13,2,34169786,4237438377,4696.0,36723480
0,13,3,57730337,4098902802,4849.0,51688796
0,14,0,12800056,13329718,161.41,3824948
0,14,1,12800056,583744374,748.58,7242328
0,14,2,71250098,14317453250,15848.0,77149264
0,14,3,122450098,15863350692,18736.0,121572996
0,15,0,22869298,23780885,277.71,6756304
0,15,1,22869298,1138565851,1425.52,13018576
0,15,2,138562522,31297443203,35183.0,151951316
0,15,3,241474111,47000828770,54833.0,242815900
0,16,0,38817848,41285018,491.68,11361692
0,16,1,38817848,2283924618,2670.5,22060300
1,1,0,0,1162,0.0,1660
1,1,1,0,1132,0.0,1660
1,1,2,0,1214,0.0,1664
1,1,3,0,1090,0.0,1732
1,2,0,0,1138,0.0,1736
1,2,1,0,1210,0.0,1728
1,2,2,0,1097,0.0,1740
1,2,3,0,1145,0.0,1736
1,3,0,0,1077,0.0,1736
1,3,1,0,1377,0.0,1744
1,3,2,0,1145,0.0,1740
1,3,3,0,1007,0.0,1736
1,4,0,144,4263,0.0,2096
1,4,1,144,6880,0.01,2264
1,4,2,233,16594,0.02,2596
1,4,3,239,16166,0.02,2528
1,5,0,284,5817,0.01,2364
1,5,1,284,9905,0.01,2484
1,5,2,686,36241,0.05,4496
1,5,3,800,44905,0.06,5756
1,6,0,270824,520977,5.74,155568
1,6,1,270824,2417747,7.65,218084
1,6,2,812303,18481713,36.21,1028396
1,6,3,825265,18536731,36.37,1049912
1,7,0,53253132,75555604,1053.05,22053832
1,7,1,53253132,692866259,1621.22,34650548
2,1,0,0,2665,0.0,1976
2,1,1,0,2609,0.0,2044
2,1,2,0,2893,0.0,2040
2,1,3,0,2570,0.0,2044
2,2,0,0,2488,0.0,1976
2,2,1,0,2526,0.0,1980
2,2,2,0,2653,0.0,2052
2,2,3,0,2508,0.0,1984
2,3,0,0,2565,0.0,2056
2,3,1,0,2442,0.0,1992
2,3,2,0,2485,0.0,2060
2,3,3,0,2480,0.0,1992
2,4,0,176,8446,0.01,2704
2,4,1,176,13813,0.02,2804
2,4,2,188,26357,0.03,3116
2,4,3,188,27061,0.03,3160
2,5,0,792,17644,0.04,4380
2,5,1,792,33857,0.06,4908
2,5,2,1924,175452,0.24,15092
2,5,3,2212,197409,0.27,17124
2,6,0,138164832,356150313,5969.0,77730868
2,6,1,138164832,1679007686,6296.0,110700420
