networkname, pathsfound, time-per-hsa, time-per-time, mem-usage
nest0h1k0_res,0,1544,0,1544
nest0h1k1_res,0,1604,0,1604
nest0h1k2_res,0,1604,0,1604
nest0h1k3_res,0,1604,0,1604
nest0h2k0_res,0,1604,0,1604
nest0h2k1_res,0,1604,0,1604
nest0h2k2_res,0,1552,0,1552
nest0h2k3_res,0,1604,0,1604
nest0h3k0_res,0,1600,0,1600
nest0h3k1_res,0,1600,0,1600
nest0h3k2_res,0,1608,0,1608
nest0h3k3_res,0,1608,0,1608
nest0h4k0_res,44,1716,0,1716
nest0h4k1_res,44,1748,0,1748
nest0h4k2_res,80,1960,0,1960
nest0h4k3_res,80,1936,0,1936
nest0h5k0_res,58,1732,0,1732
nest0h5k1_res,58,1776,0,1776
nest0h5k2_res,122,2076,0,2076
nest0h5k3_res,122,2084,0,2084
nest0h6k0_res,568,2160,0,2160
nest0h6k1_res,568,2536,0,2536
nest0h6k2_res,1330,3892,0,3892
nest0h6k3_res,1330,3872,0,3872
nest0h7k0_res,7346,5760,0,5760
nest0h7k1_res,7346,7484,0,7484
nest0h7k2_res,17594,19996,0,19996
nest0h7k3_res,21239,24332,0,24332
nest0h8k0_res,45112,19204,0,19204
nest0h8k1_res,45112,30192,1,30192
nest0h8k2_res,123746,130480,5,130480
nest0h8k3_res,168802,159588,6,159588
nest0h9k0_res,181306,64336,2,64336
nest0h9k1_res,181306,109308,5,109308
nest0h9k2_res,575098,593772,32,593772
nest0h9k3_res,846973,791128,0,791128
nest0h10k0_res,559928,184724,6,184724
nest0h10k1_res,559928,324104,20,324104
nest0h10k2_res,2033522,2126004,2,2126004
nest0h10k3_res,3153266,2889808,5,2889808
nest0h11k0_res,1445458,458212,17,458212
nest0h11k1_res,1445458,833408,3,833408
nest0h11k2_res,5935370,6228360,4,6228360
nest0h11k3_res,9548875,8655448,0,8655448
nest0h12k0_res,3276856,1012096,41,1012096
nest0h12k1_res,3276856,1882168,4,1882168
nest0h12k2_res,15036514,16078064,12,16078064
nest0h12k3_res,24866914,22428232,0,22428232
nest0h13k0_res,6731642,2041184,21,2041184
nest0h13k1_res,6731642,3812240,0,3812240
nest0h13k2_res,34169786,36723480,8,36723480
nest0h13k3_res,57730337,51688796,2,51688796
nest0h14k0_res,12800056,3824948,9,3824948
nest0h14k1_res,12800056,7242328,8,7242328
nest0h15k0_res,22869298,6756304,8,6756304
nest0h15k1_res,22869298,13018576,2,13018576
nest0h16k0_res,38817848,11361692,11,11361692
nest0h16k1_res,38817848,22060300,0,22060300
nest1h1k0_res,0,1660,0,1660
nest1h1k1_res,0,1660,0,1660
nest1h1k2_res,0,1664,0,1664
nest1h1k3_res,0,1732,0,1732
nest1h2k0_res,0,1736,0,1736
nest1h2k1_res,0,1728,0,1728
nest1h2k2_res,0,1740,0,1740
nest1h2k3_res,0,1736,0,1736
nest1h3k0_res,0,1736,0,1736
nest1h3k1_res,0,1744,0,1744
nest1h3k2_res,0,1740,0,1740
nest1h3k3_res,0,1736,0,1736
nest1h4k0_res,144,2096,0,2096
nest1h4k1_res,144,2264,0,2264
nest1h4k2_res,233,2596,0,2596
nest1h4k3_res,239,2528,0,2528
nest1h5k0_res,284,2364,0,2364
nest1h5k1_res,284,2484,0,2484
nest1h5k2_res,686,4496,0,4496
nest1h5k3_res,800,5756,0,5756
nest1h6k0_res,270824,155568,5,155568
nest1h6k1_res,270824,218084,7,218084
nest1h6k2_res,812303,1028396,36,1028396
nest1h6k3_res,825265,1049912,36,1049912
nest1h7k0_res,53253132,22053832,0,22053832
nest1h7k1_res,53253132,34650548,1,34650548
nest2h1k0_res,0,1976,0,1976
nest2h1k1_res,0,2044,0,2044
nest2h1k2_res,0,2040,0,2040
nest2h1k3_res,0,2044,0,2044
nest2h2k0_res,0,1976,0,1976
nest2h2k1_res,0,1980,0,1980
nest2h2k2_res,0,2052,0,2052
nest2h2k3_res,0,1984,0,1984
nest2h3k0_res,0,2056,0,2056
nest2h3k1_res,0,1992,0,1992
nest2h3k2_res,0,2060,0,2060
nest2h3k3_res,0,1992,0,1992
nest2h4k0_res,176,2704,0,2704
nest2h4k1_res,176,2804,0,2804
nest2h4k2_res,188,3116,0,3116
nest2h4k3_res,188,3160,0,3160
nest2h5k0_res,792,4380,0,4380
nest2h5k1_res,792,4908,0,4908
nest2h5k2_res,1924,15092,0,15092
nest2h5k3_res,2212,17124,0,17124
